Wall time,Step,Value
1727449511.995065,2254,1.0
1727449512.7699468,2257,1.0
1727449514.0249403,2262,1.0
1727449518.7781625,2281,1.0
1727449521.2459357,2291,1.0
1727449522.6702056,2297,1.0
1727449524.1905813,2303,1.0
1727449525.2205136,2307,1.0
1727449528.3097258,2319,1.0
1727449528.556048,2320,1.0
1727449534.9609725,2345,1.0
1727449537.240991,2354,1.0
1727449546.2512517,2389,1.0
1727449546.4845288,2390,1.0
1727449547.0467086,2392,1.0
1727449558.591524,2436,1.0
1727449560.576693,2444,1.0
1727449562.4017303,2451,1.0
1727449562.9319327,2453,1.0
1727449563.4420063,2455,0.4000000059604645
1727449564.726016,2460,0.4000000059604645
1727449571.0719063,2485,1.0
1727449571.3220341,2486,1.0
1727449573.9672387,2496,1.0
1727449574.4830215,2498,1.0
1727449575.7723513,2503,1.0
1727449579.43222,2517,1.0
1727449581.0831912,2523,1.0
1727449583.3977783,2532,1.0
1727449587.2529275,2547,1.0
1727449588.722528,2551,1.0
1727449589.212921,2553,1.0
1727449595.7774956,2578,1.0
1727449598.9029698,2590,1.0
1727449601.6433988,2600,1.0
1727449603.2129674,2606,1.0
1727449607.5735757,2623,1.0
1727449609.1436076,2629,1.0
1727449609.383352,2630,1.0
1727449613.0533843,2644,1.0
1727449614.63343,2650,1.0
1727449615.9429765,2655,1.0
1727449622.0250301,2678,1.0
1727449623.8240876,2685,1.0
1727449625.0942295,2690,1.0
1727449628.424064,2703,1.0
1727449630.2044172,2710,1.0
1727449634.0293326,2725,1.0
1727449637.134658,2737,1.0
1727449637.9505675,2740,1.0
1727449641.6145346,2754,1.0
1727449650.5249517,2789,1.0
1727449650.78507,2790,1.0
1727449651.025158,2791,1.0
1727449655.7052875,2809,1.0
1727449659.4751916,2824,1.0
1727449671.715706,2872,1.0
1727449674.1711323,2881,1.0
1727449676.4955955,2890,1.0
1727449678.0160263,2896,1.0
1727449683.2959714,2917,1.0
1727449683.8210971,2919,1.0
1727449684.096,2920,1.0
1727449696.1318398,2967,1.0
1727449698.1566837,2975,1.0
1727449704.0836952,2998,1.0
1727449706.5207605,3007,1.0
1727449707.5820284,3011,1.0
1727449708.5695472,3015,1.0
1727449711.7298236,3027,1.0
1727449712.521865,3030,1.0
1727449714.584289,3038,1.0
1727449715.3172684,3041,1.0
1727449721.8572404,3065,1.0
1727449722.9222026,3069,1.0
1727449723.4239857,3071,1.0
1727449730.8279078,3099,1.0
1727449736.8155255,3122,1.0
1727449740.8433635,3137,1.0
1727449742.968767,3145,1.0
1727449744.2677126,3150,1.0
1727449745.5776443,3155,1.0
1727449747.138562,3161,1.0
1727449751.189486,3177,1.0
1727449755.947656,3195,1.0
1727449756.1889076,3196,1.0
1727449758.0512052,3203,1.0
1727449758.8046741,3206,1.0
1727449765.2290533,3230,1.0
1727449766.049198,3233,1.0
1727449767.8627043,3240,1.0
1727449768.6223419,3243,1.0
1727449768.8730154,3244,1.0
1727449769.3751233,3246,1.0
1727449769.6440856,3247,1.0
1727449776.1759043,3272,1.0
1727449778.5897179,3281,1.0
1727449784.7098327,3305,1.0
1727449786.849954,3313,1.0
1727449790.4597063,3327,1.0
1727449790.6910152,3328,1.0
1727449795.1203942,3345,1.0
1727449802.6906648,3374,1.0
1727449803.190241,3376,0.10000000149011612
1727449805.9253807,3386,0.30000001192092896
1727449809.8705316,3403,0.6000000238418579
1727449810.5074706,3408,1.0
1727449813.4204764,3430,1.0
1727449814.416098,3438,1.0
1727449815.780971,3449,1.0
1727449816.020874,3451,1.0
1727449816.8870435,3458,1.0
1727449817.6408072,3464,1.0
1727449818.5309489,3471,1.0
1727449819.2711098,3477,1.0
1727449819.6411693,3480,1.0
1727449821.8410432,3497,1.0
1727449823.3413997,3509,1.0
1727449823.7111363,3512,1.0
1727449824.5753093,3519,1.0
1727449826.564538,3535,1.0
1727449826.810987,3537,1.0
1727449827.54638,3543,1.0
1727449828.0358112,3547,1.0
1727449830.0513592,3563,1.0
1727449832.2417746,3580,1.0
1727449834.7105286,3600,1.0
1727449836.9893246,3618,1.0
1727449837.2467039,3620,1.0
1727449837.4917266,3622,1.0
1727449837.8618095,3625,1.0
1727449838.2316778,3628,1.0
1727449840.3715842,3645,1.0
1727449841.7249732,3656,1.0
1727449843.4330206,3670,1.0
1727449847.2404041,3700,1.0
1727449847.4835792,3702,1.0
1727449850.414128,3726,1.0
1727449850.9051847,3730,1.0
1727449851.1525598,3732,1.0
1727449852.0020714,3738,1.0
1727449852.3898602,3741,1.0
1727449852.6378152,3743,1.0
1727449853.766907,3752,1.0
1727449854.6230557,3759,1.0
1727449856.252416,3772,1.0
1727449857.222144,3780,1.0
1727449858.8161333,3793,1.0
1727449859.079276,3795,1.0
1727449859.5367708,3798,1.0
1727449861.5030303,3814,1.0
1727449862.1124234,3819,1.0
1727449862.362404,3821,1.0
1727449863.582518,3831,1.0
1727449864.0776439,3835,1.0
1727449867.693234,3864,1.0
1727449868.2860668,3869,1.0
1727449869.13306,3876,1.0
1727449874.5732248,3920,1.0
1727449875.5427914,3928,1.0
1727449876.3928504,3935,1.0
1727449876.8829675,3939,1.0
1727449878.2131224,3950,1.0
1727449879.043315,3956,1.0
1727449879.7734172,3962,1.0
1727449882.463484,3984,1.0
1727449883.8280668,3995,1.0
1727449884.443696,4000,1.0
1727449885.9655075,4009,1.0
1727449886.0833778,4010,1.0
1727449887.6373627,4022,1.0
1727449889.003658,4033,1.0
1727449889.3792472,4036,1.0
1727449890.6036613,4046,1.0
1727449896.413494,4093,1.0
1727449897.0237572,4098,1.0
1727449897.1539657,4099,1.0
1727449898.5036778,4109,1.0
1727449907.9440622,4182,1.0
1727449909.3242419,4193,1.0
1727449909.4491613,4194,1.0
1727449909.6945543,4196,1.0
1727449909.941381,4198,1.0
1727449910.3144023,4201,1.0
1727449910.4412742,4202,1.0
1727449913.6800175,4227,1.0
1727449914.3045087,4232,1.0
1727449914.6646562,4235,1.0
1727449915.6554997,4243,1.0
1727449916.9895837,4254,1.0
1727449918.0848207,4263,1.0
1727449918.456243,4266,1.0
1727449918.5644817,4267,1.0
1727449920.4187124,4282,0.5
1727449922.4945087,4298,0.800000011920929
1727449923.2247877,4304,0.800000011920929
1727449923.7246602,4308,1.0
1727449924.9350784,4317,1.0
1727449925.1877868,4319,1.0
1727449926.2646835,4328,1.0
1727449926.752897,4332,1.0
1727449928.084627,4343,1.0
1727449931.2648163,4369,1.0
1727449932.3748841,4378,1.0
1727449934.300135,4393,1.0
1727449935.1550112,4400,1.0
1727449935.8782063,4406,1.0
1727449936.3750627,4410,1.0
1727449936.4955242,4411,1.0
1727449938.8155994,4430,1.0
1727449939.1777437,4433,1.0
1727449943.6658185,4469,1.0
1727449944.3984427,4475,1.0
1727449946.2296498,4490,1.0
1727449946.4867291,4492,1.0
1727449948.5653713,4509,1.0
1727449948.6854749,4510,1.0
1727449951.049521,4529,1.0
1727449951.1758597,4530,1.0
1727449951.5358691,4533,1.0
1727449952.6159172,4542,1.0
1727449953.9356606,4553,1.0
1727449956.956167,4578,1.0
1727449957.3862674,4581,1.0
1727449958.7501266,4592,1.0
1727449959.1163068,4595,1.0
1727449959.3561957,4597,1.0
1727449959.5983222,4599,1.0
1727449961.0517814,4611,1.0
1727449963.1164374,4628,1.0
1727449965.7632053,4649,1.0
1727449966.587573,4656,1.0
1727449967.5843947,4664,1.0
1727449968.0482104,4668,1.0
1727449968.906286,4675,1.0
1727449969.0313816,4676,1.0
1727449969.156469,4677,1.0
1727449970.381712,4687,1.0
1727449973.5762818,4713,1.0
1727449974.1977658,4718,1.0
1727449976.143222,4734,1.0
1727449977.5765612,4745,1.0
1727449978.0517998,4749,1.0
1727449978.1867626,4750,1.0
1727449979.162357,4758,1.0
1727449979.9871073,4764,1.0
1727449980.3730526,4767,1.0
1727449981.4967332,4776,1.0
1727449981.9881513,4780,1.0
1727449982.8311877,4787,1.0
1727449982.9468818,4788,1.0
1727449983.682046,4794,1.0
1727449984.3968644,4800,1.0
1727449984.6369839,4802,1.0
1727449985.0319808,4805,1.0
1727449989.3970232,4840,1.0
1727449990.8753908,4852,1.0
1727449993.2017708,4871,1.0
1727449993.4437144,4873,1.0
1727449996.260624,4894,1.0
1727449998.8172286,4914,1.0
1727450002.3040736,4938,1.0
1727450002.738785,4941,1.0
1727450004.7177067,4954,1.0
1727450005.8976061,4962,1.0
1727450007.217906,4971,1.0
1727450007.627809,4974,1.0
1727450007.9180267,4976,1.0
1727450008.0677288,4977,1.0
1727450013.7947018,5021,1.0
1727450014.6344242,5027,1.0
1727450015.0041344,5030,1.0
1727450015.8412194,5037,1.0
1727450017.4545157,5050,1.0
1727450017.6996064,5052,1.0
1727450017.827313,5053,1.0
1727450018.6943593,5060,1.0
1727450020.8845236,5078,1.0
1727450023.8044465,5101,1.0
1727450024.4245996,5106,1.0
1727450026.890621,5126,1.0
1727450027.1448736,5128,1.0
1727450027.8648193,5134,1.0
1727450031.0445702,5160,1.0
1727450031.664549,5165,1.0
1727450033.884661,5182,1.0
1727450036.168931,5200,1.0
1727450037.145135,5208,1.0
1727450040.0650988,5231,1.0
1727450040.5754087,5235,1.0
1727450041.06821,5239,1.0
1727450041.1952682,5240,1.0
1727450044.4490905,5266,0.9000000357627869
1727450047.3963816,5289,0.9000000357627869
1727450051.1906831,5318,1.0
1727450053.0030713,5329,1.0
1727450055.4857967,5345,1.0
1727450057.5256808,5359,1.0
1727450057.6757066,5360,1.0
1727450060.6111095,5380,1.0
1727450064.290881,5404,1.0
1727450066.7059617,5420,1.0
1727450069.4964542,5439,1.0
1727450069.936206,5442,1.0
1727450070.701209,5447,1.0
1727450076.4167333,5484,1.0
1727450077.49669,5491,1.0
1727450078.0767274,5495,1.0
1727450078.9767792,5501,1.0
1727450079.8470018,5507,1.0
1727450080.5968633,5512,1.0
1727450081.0590754,5515,1.0
